motif	tf	origin	gene_id	family	name	symbol	motif_tf
ENSMUSG00000026890_LINE1232_Lhx6_D	Lhx6	CIS-BP	ENSMUSG00000026890	Homeodomain	NA	NA	NA
ENSMUSG00000026934_LINE1233_Lhx3_D_N1	Lhx3	CIS-BP	ENSMUSG00000026934	Homeodomain	NA	NA	NA
ENSMUSG00000027102_LINE1236_Hoxd8_D	Hoxd8	CIS-BP	ENSMUSG00000027102	Homeodomain	NA	NA	NA
ENSMUSG00000027210_LINE1237_Meis2_D_N2	Meis2	CIS-BP	ENSMUSG00000027210	Homeodomain	NA	NA	NA
ENSMUSG00000027434_LINE1240_Nkx22_D	Nkx2-2	CIS-BP	ENSMUSG00000027434	Homeodomain	NA	NA	NA
ENSMUSG00000027833_LINE1241_Shox2_D_N2	Shox2	CIS-BP	ENSMUSG00000027833	Homeodomain	NA	NA	NA
ENSMUSG00000028023_LINE1243_Pitx2_D	Pitx2	CIS-BP	ENSMUSG00000028023	Homeodomain	NA	NA	NA
ENSMUSG00000028201_LINE1244_Lhx8_D_N2	Lhx8	CIS-BP	ENSMUSG00000028201	Homeodomain	NA	NA	NA
ENSMUSG00000028707_LINE1248_Dmbx1_D	Dmbx1	CIS-BP	ENSMUSG00000028707	Homeodomain	NA	NA	NA
ENSMUSG00000028736_LINE1249_Pax7_D	Pax7	CIS-BP	ENSMUSG00000028736	Homeodomain,Paired box	NA	NA	NA
ENSMUSG00000029112_LINE1250_Nkx11_I	Nkx1-1	CIS-BP	ENSMUSG00000029112	Homeodomain	NA	NA	NA
ENSMUSG00000029546_LINE1251_Uncx_D_N2	Uncx	CIS-BP	ENSMUSG00000029546	Homeodomain	NA	NA	NA
ENSMUSG00000029556_LINE1254_Hnf1a_D_N2	Hnf1a	CIS-BP	ENSMUSG00000029556	Homeodomain	NA	NA	NA
ENSMUSG00000029595_LINE1256_Lhx5_D	Lhx5	CIS-BP	ENSMUSG00000029595	Homeodomain	NA	NA	NA
ENSMUSG00000029644_LINE1257_Pdx1_D_N2	Pdx1	CIS-BP	ENSMUSG00000029644	Homeodomain	NA	NA	NA
ENSMUSG00000029646_LINE1259_Cdx2_D	Cdx2	CIS-BP	ENSMUSG00000029646	Homeodomain	NA	NA	NA
ENSMUSG00000029705_LINE1260_Cux1_D	Cux1	CIS-BP	ENSMUSG00000029705	CUT,Homeodomain	NA	NA	NA
ENSMUSG00000029706_LINE1261_Pax4_D_N1	Pax4	CIS-BP	ENSMUSG00000029706	Homeodomain,Paired box	NA	NA	NA
ENSMUSG00000029736_LINE1264_Nobox_D_N2	Nobox	CIS-BP	ENSMUSG00000029736	Homeodomain	NA	NA	NA
ENSMUSG00000029754_LINE1266_Dlx6_I	Dlx6	CIS-BP	ENSMUSG00000029754	Homeodomain	NA	NA	NA
ENSMUSG00000029755_LINE1267_Dlx5_D	Dlx5	CIS-BP	ENSMUSG00000029755	Homeodomain	NA	NA	NA
ENSMUSG00000029844_LINE1268_Hoxa1_D	Hoxa1	CIS-BP	ENSMUSG00000029844	Homeodomain	NA	NA	NA
ENSMUSG00000030507_LINE1269_Dbx1_D	Dbx1	CIS-BP	ENSMUSG00000030507	Homeodomain	NA	NA	NA
ENSMUSG00000031326_LINE1271_Cdx4_I	Cdx4	CIS-BP	ENSMUSG00000031326	Homeodomain	NA	NA	NA
ENSMUSG00000031621_LINE1272_Isx_D	Isx	CIS-BP	ENSMUSG00000031621	Homeodomain	NA	NA	NA
ENSMUSG00000031734_LINE1274_Irx3_D_N2	Irx3	CIS-BP	ENSMUSG00000031734	Homeodomain	NA	NA	NA
ENSMUSG00000031737_LINE1276_Irx5_D	Irx5	CIS-BP	ENSMUSG00000031737	Homeodomain	NA	NA	NA
ENSMUSG00000031738_LINE1277_Irx6_D	Irx6	CIS-BP	ENSMUSG00000031738	Homeodomain	NA	NA	NA
ENSMUSG00000031860_LINE1278_Pbx4_I	Pbx4	CIS-BP	ENSMUSG00000031860	Homeodomain	NA	NA	NA
ENSMUSG00000032015_LINE1279_Pou2f3_D	Pou2f3	CIS-BP	ENSMUSG00000032015	Homeodomain,POU	NA	NA	NA
ENSMUSG00000032033_LINE1280_Barx2_D	Barx2	CIS-BP	ENSMUSG00000032033	Homeodomain	NA	NA	NA
ENSMUSG00000032318_LINE1281_Isl2_D	Isl2	CIS-BP	ENSMUSG00000032318	Homeodomain	NA	NA	NA
ENSMUSG00000033080_LINE1282_Vsx1_D_N2	Vsx1	CIS-BP	ENSMUSG00000033080	Homeodomain	NA	NA	NA
ENSMUSG00000033726_LINE1284_Emx1_I	Emx1	CIS-BP	ENSMUSG00000033726	Homeodomain	NA	NA	NA
ENSMUSG00000034384_LINE1285_Barhl2_D	Barhl2	CIS-BP	ENSMUSG00000034384	Homeodomain	NA	NA	NA
ENSMUSG00000034460_LINE1286_Six4_D	Six4	CIS-BP	ENSMUSG00000034460	Homeodomain	NA	NA	NA
ENSMUSG00000034486_LINE1288_Gbx2_D_N2	Gbx2	CIS-BP	ENSMUSG00000034486	Homeodomain	NA	NA	NA
ENSMUSG00000034551_LINE1289_Hdx_D	Hdx	CIS-BP	ENSMUSG00000034551	Homeodomain	NA	NA	NA
ENSMUSG00000034673_LINE1290_Pbx2_I	Pbx2	CIS-BP	ENSMUSG00000034673	Homeodomain	NA	NA	NA
ENSMUSG00000034777_LINE1291_Vax2_D	Vax2	CIS-BP	ENSMUSG00000034777	Homeodomain	NA	NA	NA
ENSMUSG00000034968_LINE1292_Lbx2_D	Lbx2	CIS-BP	ENSMUSG00000034968	Homeodomain	NA	NA	NA
ENSMUSG00000035187_LINE1293_Nkx61_D	Nkx6-1	CIS-BP	ENSMUSG00000035187	Homeodomain	NA	NA	NA
ENSMUSG00000035277_LINE1294_Arx_D_N1	Arx	CIS-BP	ENSMUSG00000035277	Homeodomain	NA	NA	NA
ENSMUSG00000035934_LINE1297_Pknox2_D_N1	Pknox2	CIS-BP	ENSMUSG00000035934	Homeodomain	NA	NA	NA
ENSMUSG00000035946_LINE1299_Gsx2_D	Gsx2	CIS-BP	ENSMUSG00000035946	Homeodomain	NA	NA	NA
ENSMUSG00000036139_LINE1300_Hoxc9_D_N1	Hoxc9	CIS-BP	ENSMUSG00000036139	Homeodomain	NA	NA	NA
ENSMUSG00000036144_LINE1302_Meox2_D	Meox2	CIS-BP	ENSMUSG00000036144	Homeodomain	NA	NA	NA
ENSMUSG00000036602_LINE1303_Alx1_D_N3	Alx1	CIS-BP	ENSMUSG00000036602	Homeodomain	NA	NA	NA
ENSMUSG00000038203_LINE1307_Hoxa13_D	Hoxa13	CIS-BP	ENSMUSG00000038203	Homeodomain	NA	NA	NA
ENSMUSG00000038210_LINE1310_Hoxa11_D_N2	Hoxa11	CIS-BP	ENSMUSG00000038210	Homeodomain	NA	NA	NA
ENSMUSG00000038227_LINE1311_Hoxa9_D_N1	Hoxa9	CIS-BP	ENSMUSG00000038227	Homeodomain	NA	NA	NA
ENSMUSG00000038236_LINE1314_Hoxa7_D_N2	Hoxa7	CIS-BP	ENSMUSG00000038236	Homeodomain	NA	NA	NA
ENSMUSG00000038253_LINE1315_Hoxa5_D	Hoxa5	CIS-BP	ENSMUSG00000038253	Homeodomain	NA	NA	NA
ENSMUSG00000038692_LINE1316_Hoxb4_D	Hoxb4	CIS-BP	ENSMUSG00000038692	Homeodomain	NA	NA	NA
ENSMUSG00000038700_LINE1317_Hoxb5_D	Hoxb5	CIS-BP	ENSMUSG00000038700	Homeodomain	NA	NA	NA
ENSMUSG00000038718_LINE1318_Pbx3_I	Pbx3	CIS-BP	ENSMUSG00000038718	Homeodomain	NA	NA	NA
ENSMUSG00000038721_LINE1319_Hoxb7_D	Hoxb7	CIS-BP	ENSMUSG00000038721	Homeodomain	NA	NA	NA
ENSMUSG00000038765_LINE1320_Lmx1b_D	Lmx1b	CIS-BP	ENSMUSG00000038765	Homeodomain	NA	NA	NA
ENSMUSG00000038805_LINE1321_Six3_D	Six3	CIS-BP	ENSMUSG00000038805	Homeodomain	NA	NA	NA
ENSMUSG00000039095_LINE1322_En2_D_N2	En2	CIS-BP	ENSMUSG00000039095	Homeodomain	NA	NA	NA
ENSMUSG00000039377_LINE1324_Hlx_D	Hlx	CIS-BP	ENSMUSG00000039377	Homeodomain	NA	NA	NA
ENSMUSG00000039476_LINE1328_Prrx2_D_N4	Prrx2	CIS-BP	ENSMUSG00000039476	Homeodomain	NA	NA	NA
ENSMUSG00000040148_LINE1329_Hmx3_D	Hmx3	CIS-BP	ENSMUSG00000040148	Homeodomain	NA	NA	NA
ENSMUSG00000040310_LINE1330_Alx4_D_N1	Alx4	CIS-BP	ENSMUSG00000040310	Homeodomain	NA	NA	NA
ENSMUSG00000040610_LINE1332_Tlx3_I	Tlx3	CIS-BP	ENSMUSG00000040610	Homeodomain	NA	NA	NA
ENSMUSG00000040726_LINE1334_Hesx1_I	Hesx1	CIS-BP	ENSMUSG00000040726	Homeodomain	NA	NA	NA
ENSMUSG00000041420_LINE1338_Meis3_D_N2	Meis3	CIS-BP	ENSMUSG00000041420	Homeodomain	NA	NA	NA
ENSMUSG00000041578_LINE1341_Crx_D_N1	Crx	CIS-BP	ENSMUSG00000041578	Homeodomain	NA	NA	NA
ENSMUSG00000041583_LINE1343_Obox6_D	Obox6	CIS-BP	ENSMUSG00000041583	Homeodomain	NA	NA	NA
ENSMUSG00000041911_LINE1345_Dlx1_D_N2	Dlx1	CIS-BP	ENSMUSG00000041911	Homeodomain	NA	NA	NA
ENSMUSG00000042258_LINE1347_Isl1_I	Isl1	CIS-BP	ENSMUSG00000042258	Homeodomain	NA	NA	NA
ENSMUSG00000042448_LINE1348_Hoxd1_D	Hoxd1	CIS-BP	ENSMUSG00000042448	Homeodomain	NA	NA	NA
ENSMUSG00000042464_LINE1349_Hoxd4_I	Hoxd4	CIS-BP	ENSMUSG00000042464	Homeodomain	NA	NA	NA
ENSMUSG00000042499_LINE1350_Hoxd11_D	Hoxd11	CIS-BP	ENSMUSG00000042499	Homeodomain	NA	NA	NA
ENSMUSG00000043219_LINE1351_Hoxa6_D	Hoxa6	CIS-BP	ENSMUSG00000043219	Homeodomain	NA	NA	NA
ENSMUSG00000043342_LINE1352_Hoxd9_D_N1	Hoxd9	CIS-BP	ENSMUSG00000043342	Homeodomain	NA	NA	NA
ENSMUSG00000043969_LINE1355_Emx2_D	Emx2	CIS-BP	ENSMUSG00000043969	Homeodomain	NA	NA	NA
ENSMUSG00000044186_LINE1356_Nkx26_D	Nkx2-6	CIS-BP	ENSMUSG00000044186	Homeodomain	NA	NA	NA
ENSMUSG00000044220_LINE1357_Nkx23_D	Nkx2-3	CIS-BP	ENSMUSG00000044220	Homeodomain	NA	NA	NA
ENSMUSG00000044542_LINE1359_Prop1_D	Prop1	CIS-BP	ENSMUSG00000044542	Homeodomain	NA	NA	NA
ENSMUSG00000045515_LINE1360_Pou3f3_D	Pou3f3	CIS-BP	ENSMUSG00000045515	POU	NA	NA	NA
ENSMUSG00000045608_LINE1361_Dbx2_D	Dbx2	CIS-BP	ENSMUSG00000045608	Homeodomain	NA	NA	NA
ENSMUSG00000047407_LINE1362_Tgif1_D	Tgif1	CIS-BP	ENSMUSG00000047407	Homeodomain	NA	NA	NA
ENSMUSG00000048450_LINE1363_Msx1_D	Msx1	CIS-BP	ENSMUSG00000048450	Homeodomain	NA	NA	NA
ENSMUSG00000048528_LINE1366_Nkx12_D	Nkx1-2	CIS-BP	ENSMUSG00000048528	Homeodomain	NA	NA	NA
ENSMUSG00000048763_LINE1367_Hoxb3_D	Hoxb3	CIS-BP	ENSMUSG00000048763	Homeodomain	NA	NA	NA
ENSMUSG00000049604_LINE1368_Hoxb13_D	Hoxb13	CIS-BP	ENSMUSG00000049604	Homeodomain	NA	NA	NA
ENSMUSG00000049691_LINE1369_Nkx32_D_N2	Nkx3-2	CIS-BP	ENSMUSG00000049691	Homeodomain	NA	NA	NA
ENSMUSG00000050100_LINE1371_Hmx2_D	Hmx2	CIS-BP	ENSMUSG00000050100	Homeodomain	NA	NA	NA
ENSMUSG00000050328_LINE1373_Hoxc12_D	Hoxc12	CIS-BP	ENSMUSG00000050328	Homeodomain	NA	NA	NA
ENSMUSG00000050368_LINE1374_Hoxd10_D	Hoxd10	CIS-BP	ENSMUSG00000050368	Homeodomain	NA	NA	NA
ENSMUSG00000051038_LINE1376_Rhox11_D_N4	Rhox11	CIS-BP	ENSMUSG00000051038	Homeodomain	NA	NA	NA
ENSMUSG00000051367_LINE1380_Six1_D	Six1	CIS-BP	ENSMUSG00000051367	Homeodomain	NA	NA	NA
ENSMUSG00000052534_LINE1382_Pbx1_D	Pbx1	CIS-BP	ENSMUSG00000052534	Homeodomain	NA	NA	NA
ENSMUSG00000052621_LINE1383_Pou3f2_D	Pou3f2	CIS-BP	ENSMUSG00000052621	Homeodomain,POU	NA	NA	NA
ENSMUSG00000053129_LINE1384_Gsx1_I	Gsx1	CIS-BP	ENSMUSG00000053129	Homeodomain	NA	NA	NA
ENSMUSG00000054160_LINE1387_Nkx24_D	Nkx2-4	CIS-BP	ENSMUSG00000054160	Homeodomain	NA	NA	NA
ENSMUSG00000054310_LINE1388_Obox1_D	Obox1	CIS-BP	ENSMUSG00000054310	Homeodomain	NA	NA	NA
ENSMUSG00000054360_LINE1389_Bsx_D	Bsx	CIS-BP	ENSMUSG00000054360	Homeodomain	NA	NA	NA
ENSMUSG00000056648_LINE1391_Hoxb8_D	Hoxb8	CIS-BP	ENSMUSG00000056648	Homeodomain	NA	NA	NA
ENSMUSG00000056854_LINE1392_Pou3f4_D	Pou3f4	CIS-BP	ENSMUSG00000056854	Homeodomain,POU	NA	NA	NA
ENSMUSG00000057156_LINE1393_Homez_D	Homez	CIS-BP	ENSMUSG00000057156	Homeodomain	NA	NA	NA
ENSMUSG00000058665_LINE1394_En1_D_N1	En1	CIS-BP	ENSMUSG00000058665	Homeodomain	NA	NA	NA
ENSMUSG00000058669_LINE1397_Nkx29_D_N2	Nkx2-9	CIS-BP	ENSMUSG00000058669	Homeodomain	NA	NA	NA
ENSMUSG00000060969_LINE1400_Irx1_I	Irx1	CIS-BP	ENSMUSG00000060969	Homeodomain	NA	NA	NA
ENSMUSG00000062175_LINE1403_Tgif2_D	Tgif2	CIS-BP	ENSMUSG00000062175	Homeodomain	NA	NA	NA
ENSMUSG00000063672_LINE1405_Nkx63_I	Nkx6-3	CIS-BP	ENSMUSG00000063672	Homeodomain	NA	NA	NA
ENSMUSG00000064137_LINE1407_Rhox8_I	Rhox8	CIS-BP	ENSMUSG00000064137	Homeodomain	NA	NA	NA
ENSMUSG00000066772_LINE1408_Obox3_D	Obox3	CIS-BP	ENSMUSG00000066772	Homeodomain	NA	NA	NA
ENSMUSG00000067438_LINE1409_Hmx1_D	Hmx1	CIS-BP	ENSMUSG00000067438	Homeodomain	NA	NA	NA
ENSMUSG00000067724_LINE1410_Gbx1_D_N2	Gbx1	CIS-BP	ENSMUSG00000067724	Homeodomain	NA	NA	NA
ENSMUSG00000068048_LINE1412_Rhox9_I	Rhox9	CIS-BP	ENSMUSG00000068048	Homeodomain	NA	NA	NA
ENSMUSG00000068302_LINE1413_Noto_D	Noto	CIS-BP	ENSMUSG00000068302	Homeodomain	NA	NA	NA
ENSMUSG00000068327_LINE1414_Tlx2_D	Tlx2	CIS-BP	ENSMUSG00000068327	Homeodomain	NA	NA	NA
ENSMUSG00000074366_LINE1427_Obox5_D	Obox5	CIS-BP	ENSMUSG00000074366	Homeodomain	NA	NA	NA
ENSMUSG00000075394_LINE1433_Hoxc4_D	Hoxc4	CIS-BP	ENSMUSG00000075394	Homeodomain	NA	NA	NA
ENSMUSG00000075588_LINE1434_Hoxb2_I	Hoxb2	CIS-BP	ENSMUSG00000075588	Homeodomain	NA	NA	NA
ENSMUSG00000079277_LINE1439_Hoxd3_D_N2	Hoxd3	CIS-BP	ENSMUSG00000079277	Homeodomain	NA	NA	NA
ENSMUSG00000079560_LINE1441_Hoxa3_D_N2	Hoxa3	CIS-BP	ENSMUSG00000079560	Homeodomain	NA	NA	NA
XP_0014736851_LINE1464_Nkx11_D_N7	Nkx1-1	CIS-BP	XP	Homeodomain	NA	NA	NA
ENSMUSG00000004231_LINE1466_Pax2_D	Pax2	CIS-BP	ENSMUSG00000004231	Homeodomain,Paired box	NA	NA	NA
ENSMUSG00000004872_LINE1467_Pax3_I	Pax3	CIS-BP	ENSMUSG00000004872	Homeodomain,Paired box	NA	NA	NA
ENSMUSG00000027168_LINE1468_Pax6_D	Pax6	CIS-BP	ENSMUSG00000027168	Homeodomain,Paired box	NA	NA	NA
ENSMUSG00000004842_LINE1469_Pou1f1_D_N3	Pou1f1	CIS-BP	ENSMUSG00000004842	Homeodomain,POU	NA	NA	NA
ENSMUSG00000008496_LINE1472_Pou2f2_D_N1	Pou2f2	CIS-BP	ENSMUSG00000008496	Homeodomain,POU	NA	NA	NA
ENSMUSG00000009734_LINE1475_Pou6f2_I	Pou6f2	CIS-BP	ENSMUSG00000009734	Homeodomain,POU	NA	NA	NA
ENSMUSG00000024406_LINE1476_Pou5f1_D_N4	Pou5f1	CIS-BP	ENSMUSG00000024406	Homeodomain,POU	NA	NA	NA
ENSMUSG00000026565_LINE1482_Pou2f1_D_N1	Pou2f1	CIS-BP	ENSMUSG00000026565	Homeodomain,POU	NA	NA	NA
ENSMUSG00000078236_LINE1487_Pou3f1_D_N2	Pou3f1	CIS-BP	ENSMUSG00000078236	Homeodomain,POU	NA	NA	NA
ENSMUSG00000019878_LINE1489_Hsf2_I	Hsf2	CIS-BP	ENSMUSG00000019878	HSF	NA	NA	NA
ENSMUSG00000022556_LINE1490_Hsf1_I	Hsf1	CIS-BP	ENSMUSG00000022556	HSF	NA	NA	NA
ENSMUSG00000033249_LINE1491_Hsf4_I	Hsf4	CIS-BP	ENSMUSG00000033249	HSF	NA	NA	NA
ENSMUSG00000045336_LINE1492_Hsfy2_I	Hsfy2	CIS-BP	ENSMUSG00000045336	HSF	NA	NA	NA
ENSMUSG00000002325_LINE1495_Irf9_D	Irf9	CIS-BP	ENSMUSG00000002325	IRF	NA	NA	NA
ENSMUSG00000003184_LINE1496_Irf3_D	Irf3	CIS-BP	ENSMUSG00000003184	IRF	NA	NA	NA
ENSMUSG00000018899_LINE1497_Irf1_I	Irf1	CIS-BP	ENSMUSG00000018899	IRF	NA	NA	NA
ENSMUSG00000021356_LINE1498_Irf4_D	Irf4	CIS-BP	ENSMUSG00000021356	IRF	NA	NA	NA
ENSMUSG00000025498_LINE1499_Irf7_D	Irf7	CIS-BP	ENSMUSG00000025498	IRF	NA	NA	NA
ENSMUSG00000026638_LINE1500_Irf6_D	Irf6	CIS-BP	ENSMUSG00000026638	IRF	NA	NA	NA
ENSMUSG00000029771_LINE1501_Irf5_D	Irf5	CIS-BP	ENSMUSG00000029771	IRF	NA	NA	NA
ENSMUSG00000031627_LINE1502_Irf2_D	Irf2	CIS-BP	ENSMUSG00000031627	IRF	NA	NA	NA
ENSMUSG00000039164_LINE1505_Naif1_I	Naif1	CIS-BP	ENSMUSG00000039164	MADF	NA	NA	NA
ENSMUSG00000005583_LINE1508_Mef2c_I	Mef2c	CIS-BP	ENSMUSG00000005583	MADS box	NA	NA	NA
ENSMUSG00000015605_LINE1509_Srf_D	Srf	CIS-BP	ENSMUSG00000015605	MADS box	NA	NA	NA
ENSMUSG00000030557_LINE1510_Mef2a_I	Mef2a	CIS-BP	ENSMUSG00000030557	MADS box	NA	NA	NA
ENSMUSG00000024513_LINE1513_Mbd2_I	Mbd2	CIS-BP	ENSMUSG00000024513	MBD	NA	NA	NA
ENSMUSG00000031393_LINE1517_Mecp2_D	Mecp2	CIS-BP	ENSMUSG00000031393	MBD	NA	NA	NA
ENSMUSG00000017861_LINE1526_Mybl2_D	Mybl2	CIS-BP	ENSMUSG00000017861	Myb/SANT	NA	NA	NA
ENSMUSG00000019982_LINE1529_Myb_D_N1	Myb	CIS-BP	ENSMUSG00000019982	Myb/SANT	NA	NA	NA
ENSMUSG00000023932_LINE1532_Cdc5l_I	Cdc5l	CIS-BP	ENSMUSG00000023932	Myb/SANT	NA	NA	NA
ENSMUSG00000025369_LINE1534_Smarcc2_I	Smarcc2	CIS-BP	ENSMUSG00000025369	NA	NA	NA	NA
ENSMUSG00000025912_LINE1535_Mybl1_D	Mybl1	CIS-BP	ENSMUSG00000025912	Myb/SANT	NA	NA	NA
ENSMUSG00000031921_LINE1545_Terf2_D	Terf2	CIS-BP	ENSMUSG00000031921	Myb/SANT	NA	NA	NA
ENSMUSG00000048481_LINE1557_Mypop_D	Mypop	CIS-BP	ENSMUSG00000048481	Myb/SANT	NA	NA	NA
ENSMUSG00000075028_LINE1561_Prdm11_D	Prdm11	CIS-BP	ENSMUSG00000075028	Myb/SANT	NA	NA	NA
ENSMUSG00000000440_LINE1566_Pparg_I	Pparg	CIS-BP	ENSMUSG00000000440	Nuclear receptor	NA	NA	NA
ENSMUSG00000001288_LINE1567_Rarg_D_N1	Rarg	CIS-BP	ENSMUSG00000001288	Nuclear receptor	NA	NA	NA
ENSMUSG00000002108_LINE1571_Nr1h3_I	Nr1h3	CIS-BP	ENSMUSG00000002108	Nuclear receptor	NA	NA	NA
ENSMUSG00000002250_LINE1572_Ppard_I	Ppard	CIS-BP	ENSMUSG00000002250	Nuclear receptor	NA	NA	NA
ENSMUSG00000002393_LINE1573_Nr2f6_D_N1	Nr2f6	CIS-BP	ENSMUSG00000002393	Nuclear receptor	NA	NA	NA
ENSMUSG00000005677_LINE1576_Nr1i3_I	Nr1i3	CIS-BP	ENSMUSG00000005677	Nuclear receptor	NA	NA	NA
ENSMUSG00000005893_LINE1577_Nr2c2_I	Nr2c2	CIS-BP	ENSMUSG00000005893	Nuclear receptor	NA	NA	NA
ENSMUSG00000005897_LINE1578_Nr2c1_D_N2	Nr2c1	CIS-BP	ENSMUSG00000005897	Nuclear receptor	NA	NA	NA
ENSMUSG00000015843_LINE1580_Rxrg_D	Rxrg	CIS-BP	ENSMUSG00000015843	Nuclear receptor	NA	NA	NA
ENSMUSG00000015846_LINE1581_Rxra_D_N1	Rxra	CIS-BP	ENSMUSG00000015846	Nuclear receptor	NA	NA	NA
ENSMUSG00000017491_LINE1585_Rarb_D_N1	Rarb	CIS-BP	ENSMUSG00000017491	Nuclear receptor	NA	NA	NA
ENSMUSG00000017688_LINE1589_Hnf4g_I	Hnf4g	CIS-BP	ENSMUSG00000017688	Nuclear receptor	NA	NA	NA
ENSMUSG00000017950_LINE1590_Hnf4a_D_N1	Hnf4a	CIS-BP	ENSMUSG00000017950	Nuclear receptor	NA	NA	NA
ENSMUSG00000019768_LINE1592_Esr1_D	Esr1	CIS-BP	ENSMUSG00000019768	Nuclear receptor	NA	NA	NA
ENSMUSG00000019803_LINE1593_Nr2e1_D_N1	Nr2e1	CIS-BP	ENSMUSG00000019803	Nuclear receptor	NA	NA	NA
ENSMUSG00000021055_LINE1597_Esr2_I	Esr2	CIS-BP	ENSMUSG00000021055	Nuclear receptor	NA	NA	NA
ENSMUSG00000021255_LINE1599_Esrrb_D_N3	Esrrb	CIS-BP	ENSMUSG00000021255	Nuclear receptor	NA	NA	NA
ENSMUSG00000022383_LINE1603_Ppara_I	Ppara	CIS-BP	ENSMUSG00000022383	Nuclear receptor	NA	NA	NA
ENSMUSG00000022479_LINE1604_Vdr_D	Vdr	CIS-BP	ENSMUSG00000022479	Nuclear receptor	NA	NA	NA
ENSMUSG00000022809_LINE1605_Nr1i2_I	Nr1i2	CIS-BP	ENSMUSG00000022809	Nuclear receptor	NA	NA	NA
ENSMUSG00000024431_LINE1607_Nr3c1_D	Nr3c1	CIS-BP	ENSMUSG00000024431	Nuclear receptor	NA	NA	NA
ENSMUSG00000024955_LINE1608_Esrra_D_N1	Esrra	CIS-BP	ENSMUSG00000024955	Nuclear receptor	NA	NA	NA
ENSMUSG00000026398_LINE1611_Nr5a2_D_N1	Nr5a2	CIS-BP	ENSMUSG00000026398	Nuclear receptor	NA	NA	NA
ENSMUSG00000026610_LINE1613_Esrrg_D	Esrrg	CIS-BP	ENSMUSG00000026610	Nuclear receptor	NA	NA	NA
ENSMUSG00000026826_LINE1615_Nr4a2_D	Nr4a2	CIS-BP	ENSMUSG00000026826	Nuclear receptor	NA	NA	NA
ENSMUSG00000028150_LINE1616_Rorc_I	Rorc	CIS-BP	ENSMUSG00000028150	Nuclear receptor	NA	NA	NA
ENSMUSG00000028341_LINE1617_Nr4a3_I	Nr4a3	CIS-BP	ENSMUSG00000028341	Nuclear receptor	NA	NA	NA
ENSMUSG00000030551_LINE1618_Nr2f2_D	Nr2f2	CIS-BP	ENSMUSG00000030551	Nuclear receptor	NA	NA	NA
ENSMUSG00000031618_LINE1619_Nr3c2_I	Nr3c2	CIS-BP	ENSMUSG00000031618	Nuclear receptor	NA	NA	NA
ENSMUSG00000032238_LINE1621_Rora_D	Rora	CIS-BP	ENSMUSG00000032238	Nuclear receptor	NA	NA	NA
ENSMUSG00000032292_LINE1622_Nr2e3_D	Nr2e3	CIS-BP	ENSMUSG00000032292	Nuclear receptor	NA	NA	NA
ENSMUSG00000036192_LINE1623_Rorb_D	Rorb	CIS-BP	ENSMUSG00000036192	Nuclear receptor	NA	NA	NA
ENSMUSG00000037992_LINE1624_Rara_D_N1	Rara	CIS-BP	ENSMUSG00000037992	Nuclear receptor	NA	NA	NA
ENSMUSG00000039656_LINE1628_Rxrb_D_N1	Rxrb	CIS-BP	ENSMUSG00000039656	Nuclear receptor	NA	NA	NA
ENSMUSG00000046532_LINE1630_Ar_D_N1	Ar	CIS-BP	ENSMUSG00000046532	Nuclear receptor	NA	NA	NA
ENSMUSG00000060601_LINE1635_Nr1h2_I	Nr1h2	CIS-BP	ENSMUSG00000060601	Nuclear receptor	NA	NA	NA
ENSMUSG00000063972_LINE1636_Nr6a1_I	Nr6a1	CIS-BP	ENSMUSG00000063972	Nuclear receptor	NA	NA	NA
ENSMUSG00000069171_LINE1637_Nr2f1_D	Nr2f1	CIS-BP	ENSMUSG00000069171	Nuclear receptor	NA	NA	NA
ENSMUSG00000029026_LINE1639_Trp73_D	Trp73	CIS-BP	ENSMUSG00000029026	p53	NA	NA	NA
ENSMUSG00000059552_LINE1640_Trp53_D_N1	Trp53	CIS-BP	ENSMUSG00000059552	p53	NA	NA	NA
ENSMUSG00000001497_LINE1643_Pax9_I	Pax9	CIS-BP	ENSMUSG00000001497	Paired box	NA	NA	NA
ENSMUSG00000014030_LINE1644_Pax5_I	Pax5	CIS-BP	ENSMUSG00000014030	Paired box	NA	NA	NA
ENSMUSG00000025019_LINE1648_Lcor_I	Lcor	CIS-BP	ENSMUSG00000025019	Pipsqueak	NA	NA	NA
ENSMUSG00000003847_LINE1653_Nfat5_I	Nfat5	CIS-BP	ENSMUSG00000003847	Rel	NA	NA	NA
ENSMUSG00000020275_LINE1654_Rel_I	Rel	CIS-BP	ENSMUSG00000020275	Rel	NA	NA	NA
ENSMUSG00000024927_LINE1656_Rela_D_N1	Rela	CIS-BP	ENSMUSG00000024927	Rel	NA	NA	NA
ENSMUSG00000025225_LINE1658_Nfkb2_I	Nfkb2	CIS-BP	ENSMUSG00000025225	Rel	NA	NA	NA
ENSMUSG00000027544_LINE1659_Nfatc2_I	Nfatc2	CIS-BP	ENSMUSG00000027544	Rel	NA	NA	NA
ENSMUSG00000028163_LINE1660_Nfkb1_I	Nfkb1	CIS-BP	ENSMUSG00000028163	Rel	NA	NA	NA
ENSMUSG00000031902_LINE1661_Nfatc3_I	Nfatc3	CIS-BP	ENSMUSG00000031902	Rel	NA	NA	NA
ENSMUSG00000033016_LINE1662_Nfatc1_I	Nfatc1	CIS-BP	ENSMUSG00000033016	Rel	NA	NA	NA
